# kokoro-graph 自前感情辞書 v1.1.0 (2026-08-17) からの固定コピー(2026-08-20 取得)
# 出典: c:/_ClaudeCode/kokoro-graph/dict/kokoro_dict.json — 参照先の変更に追随しない
word,polarity,category
光,0.4,calm
冷たい,-0.4,fear
凄い,-0.4,fear
凄まじい,-0.4,fear
凍る,-0.4,fear
切ない,-0.7,sadness
力強い,0.4,calm
助かる,0.4,calm
助ける,0.4,calm
勇ましい,0.4,calm
勇気,0.4,calm
勝つ,0.4,calm
勝利,0.7,calm
化け物,-0.7,fear
化物,-0.7,fear
卑しい,-0.4,dislike
卑劣,-0.7,dislike
卑怯,-0.7,dislike
危うい,-0.4,fear
危険,-0.4,fear
厭,-0.4,dislike
厭う,-0.7,dislike
厭わしい,-0.7,dislike
可愛い,0.4,like
可愛らしい,0.4,like
叱る,-0.4,anger
叶う,0.4,calm
号泣,-1.0,sadness
吃驚,0.0,surprise
名残,-0.4,sadness
呆然,0.0,surprise
呪い,-0.7,fear
呪う,-0.7,fear
呪わしい,-0.7,dislike
呪詛,-1.0,anger
呻く,-0.7,fear
和む,0.4,calm
咎める,-0.4,anger
咽ぶ,-0.7,sadness
哀しい,-0.7,sadness
哀しみ,-0.7,sadness
哀れ,-0.4,sadness
哀れむ,-0.4,sadness
唖然,0.0,surprise
喜び,0.7,joy
喜ぶ,0.7,joy
喝采,0.7,joy
喪,-0.4,sadness
嘆き,-0.7,sadness
嘆く,-0.7,sadness
嘆息,-0.4,sadness
嘘,-0.4,dislike
地獄,-1.0,fear
失う,-0.4,sadness
失意,-0.7,sadness
契り,0.4,like
奪う,-0.7,dislike
好き,0.7,like
好む,0.4,like
妖怪,-0.7,fear
妬み,-0.4,anger
妬む,-0.4,anger
嫉む,-0.4,anger
嫉妬,-0.7,anger
嫌,-0.4,dislike
嫌い,-0.7,dislike
嫌う,-0.7,dislike
嫌悪,-1.0,dislike
嬉しい,0.7,joy
孤独,-0.7,sadness
安らか,0.4,calm
安堵,0.7,calm
安心,0.7,calm
安楽,0.4,calm
実る,0.4,calm
寂しい,-0.4,sadness
寂しさ,-0.4,sadness
屈辱,-1.0,dislike
屍,-1.0,fear
希望,0.7,calm
平和,0.4,calm
幸い,0.4,joy
幸せ,0.7,joy
幸福,0.7,joy
幽霊,-0.7,fear
微笑,0.4,joy
微笑む,0.4,joy
心細い,-0.4,sadness
心配,-0.4,fear
忌々しい,-0.4,anger
忌まわしい,-0.7,fear
忌み嫌う,-0.7,dislike
忌む,-0.7,dislike
怒り,-0.7,anger
怒る,-0.7,anger
怒鳴る,-0.7,anger
怖い,-0.7,fear
思いがけない,0.0,surprise
思慕,0.7,like
怨み,-0.7,anger
怨む,-0.7,anger
怨恨,-0.7,anger
怯える,-0.7,fear
恋,0.7,like
恋い焦がれる,1.0,like
恋しい,0.7,like
恋する,0.7,like
恋心,0.7,like
恐い,-0.7,fear
恐れ,-0.4,fear
恐れる,-0.4,fear
恐ろしい,-0.7,fear
恐怖,-1.0,fear
恥,-0.7,dislike
恥じる,-0.7,dislike
恥ずかしい,-0.4,dislike
恨み,-0.7,anger
恨む,-0.7,anger
恵まれる,0.4,calm
恵み,0.4,calm
悄然,-0.4,sadness
悦び,0.7,joy
悦ぶ,0.7,joy
悪,-0.4,dislike
悪い,-0.4,dislike
悪夢,-1.0,fear
悲しい,-0.7,sadness
悲しみ,-0.7,sadness
悲しむ,-0.7,sadness
悲哀,-0.7,sadness
悲惨,-1.0,sadness
悲痛,-1.0,sadness
悲運,-0.7,sadness
悶える,-0.7,fear
悼む,-0.7,sadness
情け,0.4,like
惚れる,0.7,like
惜しい,-0.4,sadness
惜しむ,-0.4,sadness
惨い,-0.7,sadness
惨め,-0.7,sadness
惨劇,-1.0,fear
愉しい,0.4,joy
愉快,0.7,joy
意外,0.0,surprise
愕然,0.0,surprise
愚か,-0.4,dislike
愛,0.7,like
愛しい,0.7,like
愛する,0.7,like
愛らしい,0.4,like
愛情,0.7,like
感謝,0.7,calm
慄く,-0.7,fear
慄然,-0.4,fear
慈しむ,0.7,like
慕う,0.7,like
慟哭,-1.0,sadness
憂い,-0.4,sadness
憂う,-0.4,sadness
憂鬱,-0.7,sadness
憎い,-0.7,anger
憎しみ,-0.7,anger
憎む,-0.7,anger
憎らしい,-0.7,anger
憎悪,-0.7,anger
憐れ,-0.4,sadness
憐れむ,-0.4,sadness
憤り,-0.7,anger
憤る,-0.7,anger
憤怒,-1.0,anger
憤慨,-0.7,anger
憧れ,0.7,like
憧れる,0.7,like
憩い,0.4,calm
懐かしい,0.4,like
懐かしむ,0.4,like
成功,0.7,calm
戦慄,-1.0,fear
救い,0.7,calm
救う,0.7,calm
救われる,0.7,calm
明るい,0.4,calm
晴れやか,0.4,calm
暖かい,0.4,like
暗い,-0.4,sadness
暗闇,-0.4,fear
有難い,0.7,calm
有頂天,1.0,joy
望み,0.4,calm
未練,-0.7,sadness
栄える,0.4,calm
楽しい,0.4,joy
楽しみ,0.4,joy
欺く,-0.7,dislike
歓ぶ,0.7,joy
歓喜,1.0,joy
歓声,0.7,joy
死,-0.7,fear
死ぬ,-0.7,fear
死体,-1.0,fear
死別,-1.0,sadness
殺し,-1.0,fear
殺す,-1.0,fear
気がかり,-0.4,fear
気味悪い,-0.4,fear
汚い,-0.4,dislike
汚れる,-0.4,dislike
沈む,-0.4,sadness
泣く,-0.7,sadness
浅ましい,-0.7,dislike
浮かれる,0.7,joy
涙,-0.7,sadness
涙ぐむ,-0.4,sadness
淋しい,-0.4,sadness
清々しい,0.4,calm
清い,0.4,calm
清らか,0.4,calm
温かい,0.4,like
満足,0.4,joy
溜息,-0.4,sadness
澄む,0.4,calm
激怒,-1.0,anger
激昂,-1.0,anger
煩わしい,-0.4,dislike
熱愛,1.0,like
爽やか,0.4,calm
狂う,-0.7,fear
狂喜,1.0,joy
狂気,-0.7,fear
甘い,0.4,calm
病,-0.4,fear
病む,-0.7,fear
痛い,-0.4,fear
痛ましい,-0.7,sadness
痛み,-0.4,fear
癪,-0.4,anger
発狂,-0.7,fear
盗む,-0.7,dislike
眩しい,0.4,calm
祝う,0.4,joy
祝福,0.7,joy
祟り,-0.7,fear
穏やか,0.4,calm
穢れ,-0.4,dislike
空しい,-0.4,sadness
立派,0.4,calm
立腹,-0.4,anger
笑い,0.4,joy
笑う,0.4,joy
笑顔,0.4,joy
素敵,0.4,calm
素晴らしい,0.4,calm
絶望,-1.0,sadness
綺麗,0.4,calm
罪,-0.7,dislike
罪悪,-0.7,dislike
罵る,-0.4,anger
美しい,0.4,calm
脅かす,-0.4,fear
脅す,-0.4,fear
腹立たしい,-0.7,anger
腹立つ,-0.4,anger
苛々,-0.4,anger
苛立つ,-0.4,anger
苦い,-0.4,dislike
苦しい,-0.7,fear
苦しむ,-0.7,fear
苦痛,-0.7,fear
落ち着く,0.4,calm
落胆,-0.7,sadness
蔑む,-0.7,dislike
薄幸,-0.7,sadness
薄気味悪い,-0.4,fear
虚しい,-0.4,sadness
血,-0.7,fear
裏切り,-0.7,dislike
裏切る,-0.7,dislike
見事,0.4,calm
親しい,0.4,like
親しむ,0.4,like
誇り,0.7,calm
誇る,0.7,calm
諦め,-0.7,sadness
諦める,-0.7,sadness
豊か,0.4,calm
貧しい,-0.4,dislike
貧乏,-0.4,dislike
責める,-0.4,anger
軽蔑,-0.7,dislike
輝き,0.4,calm
輝く,0.4,calm
辛い,-0.4,dislike
辱め,-1.0,dislike
退屈,-0.4,dislike
逆上,-1.0,anger
邪,-0.4,dislike
酷い,-0.7,sadness
醜い,-0.7,dislike
闇,-0.4,fear
阿呆,-0.4,dislike
陰鬱,-0.4,sadness
陽気,0.4,joy
震える,-0.7,fear
青ざめる,-0.7,fear
静か,0.4,calm
面倒,-0.4,dislike
面白い,0.4,joy
飢え,-0.4,dislike
飢える,-0.4,dislike
飽きる,-0.4,dislike
馬鹿,-0.4,dislike
騙す,-0.7,dislike
驚き,0.0,surprise
驚く,0.0,surprise
驚愕,0.0,surprise
麗しい,0.4,calm
